scenario,size,seed,policy,budget,retained_count,retained_ratio,exact_recall_at_1,exact_recall_at_5,recall_at_1,recall_at_5,mrr,exact_mrr,target_fact_retained,superseded_fact_at_1,index_bytes,selection_seconds,index_build_seconds,retrieved_tokens,dedup_representatives,samples,query_p50_ms,query_p95_ms,search_p50_ms,search_p95_ms,retrieval_p50_ms,retrieval_p95_ms
balanced,100,11,semantic_dedup,0.75,75,0.75,0.5138888888888888,0.7222222222222222,0.7083333333333334,0.8888888888888888,0.7986111111111112,0.6180555555555556,0.8888888888888888,0.25,691245,0.000874949000262859,0.003362121999998635,61.111111111111114,62,360,34.63453500012292,37.05094339966308,0.0079849996836856,0.008477999949718651,34.642870499965284,37.0587479495498
balanced,100,11,recency,0.25,25,0.25,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.19444444444444445,0.19444444444444445,0.2222222222222222,0.05555555555555555,230445,2.9704999633395346e-05,0.0027972899997621425,60.05555555555556,,360,34.63453500012292,37.05094339966308,0.003967000111515517,0.004378500079837977,34.638537500086386,37.054815499573124
balanced,100,11,semantic_dedup,0.25,25,0.25,0.16666666666666666,0.16666666666666666,0.2361111111111111,0.3333333333333333,0.2847222222222222,0.16666666666666666,0.3333333333333333,0.09722222222222222,230445,0.0008740070002204448,0.0022253850002016407,60.84722222222222,62,360,34.63453500012292,37.05094339966308,0.003982499947596807,0.004458050148059556,34.63881750008113,37.05485394991683
balanced,100,11,importance,0.5,50,0.5,0.2222222222222222,0.5,0.3194444444444444,0.5,0.4074074074074074,0.33912037037037035,0.5,0.18055555555555555,460845,2.7752000278269406e-05,0.002368072000081156,61.15277777777778,,360,34.63453500012292,37.05094339966308,0.0059309998050594,0.006422499859581876,34.64029099995969,37.0566834495321
balanced,100,11,recency,0.75,75,0.75,0.5694444444444444,0.7777777777777778,0.5972222222222222,0.7777777777777778,0.6875,0.6689814814814814,0.7777777777777778,0.18055555555555555,691245,1.8463999822415644e-05,0.00321294500008662,60.875,,360,34.63453500012292,37.05094339966308,0.007985000138432952,0.008687000013196666,34.64261050021378,37.05873044962118
balanced,500,11,full,1.0,500,1.0,0.4305555555555556,1.0,0.7638888888888888,1.0,0.8761574074074073,0.6844907407407407,1.0,0.2222222222222222,4608045,3.1860004128247965e-06,0.008340375999978278,63.40277777777778,,360,34.63453500012292,37.05094339966308,0.04159749983045913,0.044924500116394483,34.67649300023368,37.09219394986576
balanced,500,11,importance,0.25,125,0.25,0.08333333333333333,0.3333333333333333,0.18055555555555555,0.3333333333333333,0.2546296296296296,0.18634259259259256,0.3333333333333333,0.1527777777777778,1152045,0.00017721000040182844,0.0038926610000089568,65.19444444444444,,360,34.63453500012292,37.05094339966308,0.013334499953998602,0.014154500013319195,34.648335500151006,37.06413189963769
balanced,500,11,recency,0.5,250,0.5,0.375,0.5,0.375,0.5,0.4375,0.4375,0.5,0.125,2304045,0.00015632099984941306,0.0050451679999241605,65.79166666666667,,360,34.63453500012292,37.05094339966308,0.02191600015066797,0.023904549607323133,34.6565155002736,37.07315494964405
balanced,500,11,importance,0.5,250,0.5,0.2222222222222222,0.5,0.3194444444444444,0.5,0.40509259259259256,0.33796296296296297,0.5,0.18055555555555555,2304045,0.00016422499993495876,0.004977491999852646,65.86111111111111,,360,34.63453500012292,37.05094339966308,0.025577499854989583,0.026442450052854838,34.66093500014722,37.07676979961434
balanced,500,11,recency,0.75,375,0.75,0.5694444444444444,0.7777777777777778,0.5972222222222222,0.7777777777777778,0.6851851851851851,0.6666666666666666,0.7777777777777778,0.16666666666666666,3456045,0.00015893599993432872,0.006538490000366437,64.45833333333333,,360,34.63453500012292,37.05094339966308,0.031709000268165255,0.04005840007721422,34.66602949993103,37.082830349959295
balanced,500,11,importance,0.75,375,0.75,0.2777777777777778,0.7222222222222222,0.5416666666666666,0.7222222222222222,0.6261574074074074,0.47615740740740736,0.7222222222222222,0.18055555555555555,3456045,0.0001716000001579232,0.006996643000093172,64.84722222222223,,360,34.63453500012292,37.05094339966308,0.030948000130592845,0.034374999813735485,34.66520150004726,37.082108399727076
balanced,500,11,semantic_dedup,0.5,250,0.5,0.4861111111111111,0.6111111111111112,0.5277777777777778,0.6666666666666666,0.5972222222222222,0.5486111111111112,0.6666666666666666,0.19444444444444445,2304045,0.0039014279996081314,0.005796566999833885,64.91666666666667,93,360,34.63453500012292,37.05094339966308,0.024385999950027326,0.025387499840689998,34.65883500007294,37.07544489989232
balanced,500,11,semantic_dedup,0.75,375,0.75,0.5694444444444444,0.7777777777777778,0.5972222222222222,0.7777777777777778,0.6851851851851851,0.6666666666666666,0.7777777777777778,0.2222222222222222,3456045,0.0038999149996925553,0.0068163870000717,64.25,93,360,34.63453500012292,37.05094339966308,0.031087500019566505,0.03757255014988914,34.666024499983905,37.08210589982173
balanced,500,11,semantic_dedup,0.25,125,0.25,0.3611111111111111,0.3888888888888889,0.4027777777777778,0.4444444444444444,0.4236111111111111,0.375,0.4444444444444444,0.2777777777777778,1152045,0.003899563999766542,0.0039029609997669468,64.91666666666667,93,360,34.63453500012292,37.05094339966308,0.014622499975303072,0.01733254998725897,34.649643999955515,37.06941414957328
balanced,500,11,recency,0.25,125,0.25,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.19444444444444445,0.19444444444444445,0.2222222222222222,0.05555555555555555,1152045,0.00019702700001289486,0.0037958500001877837,66.52777777777777,,360,34.63453500012292,37.05094339966308,0.01272349982173182,0.013346449850359932,34.64702299993405,37.0639618997302
balanced,1000,11,semantic_dedup,0.25,250,0.25,0.19444444444444445,0.2777777777777778,0.2916666666666667,0.3888888888888889,0.3402777777777778,0.2361111111111111,0.3888888888888889,0.4027777777777778,2304045,0.009601895999821863,0.005373528999825794,65.5,116,360,34.63453500012292,37.05094339966308,0.022937500034458935,0.024838450167408155,34.65773850007281,37.07422184945699
balanced,1000,11,semantic_dedup,0.75,750,0.75,0.5694444444444444,0.7777777777777778,0.5972222222222222,0.7777777777777778,0.6851851851851851,0.6666666666666666,0.7777777777777778,0.2638888888888889,6912045,0.009604591999504919,0.011767410000175005,64.26388888888889,116,360,34.63453500012292,37.05094339966308,0.059675999864339246,0.06993855031396379,34.69655549997697,37.109499499706544
balanced,1000,11,recency,0.5,500,0.5,0.375,0.5555555555555556,0.4305555555555556,0.5555555555555556,0.4930555555555556,0.4652777777777778,0.5555555555555556,0.125,4608045,0.0003726539998751832,0.008910989000014524,65.65277777777777,,360,34.63453500012292,37.05094339966308,0.039749000052324845,0.04785554976933782,34.67391350000071,37.090852399751384
balanced,1000,11,semantic_dedup,0.5,500,0.5,0.375,0.5,0.4722222222222222,0.6111111111111112,0.5416666666666666,0.4375,0.6111111111111112,0.2916666666666667,4608045,0.009610541999791167,0.00894355899981747,65.11111111111111,116,360,34.63453500012292,37.05094339966308,0.041732499994395766,0.047480999705840084,34.67709450001166,37.09211594937187
balanced,1000,11,importance,0.75,750,0.75,0.2777777777777778,0.7222222222222222,0.5138888888888888,0.7222222222222222,0.6122685185185186,0.4715277777777778,0.7222222222222222,0.20833333333333334,6912045,0.0004424150001796079,0.01094089999969583,64.81944444444444,,360,34.63453500012292,37.05094339966308,0.058227999943483155,0.062233599828687154,34.69276350028849,37.1087889497403
balanced,1000,11,recency,0.25,250,0.25,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.19444444444444445,0.19444444444444445,0.2222222222222222,0.05555555555555555,2304045,0.00035608400003184215,0.0054743769997003255,67.11111111111111,,360,34.63453500012292,37.05094339966308,0.02247199972771341,0.024855999640749363,34.656825999945795,37.07372089954788
balanced,1000,11,recency,0.75,750,0.75,0.5694444444444444,0.7777777777777778,0.5972222222222222,0.7777777777777778,0.6851851851851851,0.6666666666666666,0.7777777777777778,0.16666666666666666,6912045,0.0004090120000910247,0.01101189200016961,64.54166666666667,,360,34.63453500012292,37.05094339966308,0.06164499995975348,0.0700650498856703,34.69679149998228,37.11260189929817
balanced,1000,11,full,1.0,1000,1.0,0.4305555555555556,1.0,0.7638888888888888,1.0,0.8761574074074073,0.6844907407407407,1.0,0.2222222222222222,9216045,4.185799980405136e-05,0.01533936400028324,63.5,,360,34.63453500012292,37.05094339966308,0.07482949990844645,0.08019764970867983,34.70918450011595,37.125783399665124
balanced,1000,11,importance,0.25,250,0.25,0.08333333333333333,0.3333333333333333,0.18055555555555555,0.3333333333333333,0.2546296296296296,0.18634259259259256,0.3333333333333333,0.1527777777777778,2304045,0.0003942150001421396,0.0052610299999287236,65.93055555555556,,360,34.63453500012292,37.05094339966308,0.02278300007674261,0.025233500150534383,34.65743750030015,37.0738668992999
